goal_type,keywords,expert_advice_description,expert_advice_url,state
Charity,"Start,Begin Charity",Tips for starting a charity,http://www.wikihow.com/Start-a-Charity,active
Charity,Donate,Donate money to charity,http://gamergirl.hubpages.com/hub/Donating-Money-to-Charity,active
Charity,Donate,Why you should donate,http://social.razoo.com/2011/10/why-should-i-donate/,active
Charity,Donate,Why you should give your money away to charity,http://www.thesimpledollar.com/2007/04/28/charity-why-you-should-give-your-money-away/,active
Charity,Donate,How much to donate - God knows,http://www.nytimes.com/2010/05/01/your-money/01money.html?_r=0,active
Charity,Donate,How much should you donate in proportion to income,http://sg.answers.yahoo.com/question/index?qid=20100131210240AArIz0q,active
Financial,retirement,How much should I save for retirement,http://www.forbes.com/sites/davidmarotta/2012/09/03/how-much-should-i-save-for-retirement/,active
Financial,retirement,How much should I save for retirement,http://business.time.com/2012/12/05/how-much-should-you-save-for-retirement/,active
Financial,College,How much should I save for college,http://www.goodfinancialcents.com/how-much-should-you-really-save-for-college-paying-kids-tuition-bill/,active
Financial,College,Lessons for saving for college,http://money.cnn.com/magazines/moneymag/money101/lesson11/index.htm,active
Financial,College,Saving for College vs retirement,http://www.kiplinger.com/article/saving/T047-C002-S001-saving-for-college-vs-retirement.html,active
Financial,"Save,build wealth",Tips for Saving money,http://www.wikihow.com/Save-Money,active
Financial,"Save,build wealth",51 tips for saving money,http://www.doughroller.net/smart-spending/51-painless-money-saving-tips/,active
Financial,"Save,build wealth",101 tips for saving money,http://www.thesimpledollar.com/2008/02/06/little-steps-100-great-tips-for-saving-money-for-those-just-getting-started/,active
Financial,"Save,build wealth",45 ways to save money,http://financialhighway.com/45-ways-to-save-money/,active
Financial,"Save,build wealth",30 easy ways to save money,http://www.dumblittleman.com/2008/01/30-easy-ways-to-save-money-and-no-you.html,active
Financial,"Save,build wealth",10 Rules for building wealth,http://money.cnn.com/popups/2006/fortune/buildwealth/index.html,active
Financial,"Save,build wealth",How to build wealth,http://www.ehow.com/how_2123736_build-wealth.html,active
Financial,"Save,build wealth",7 rules for wealth building,http://beginnersinvest.about.com/cs/personalfinance1/a/031001a.htm,active
Financial,"Save,build wealth",Tips for building wealth,http://www.wikihow.com/Build-Wealth,active
Financial,"401k, invest, stocks, bonds",Why should I invest in retirement plan,http://www.ehow.com/about_7454106_should-invest-401k-roth_.html,active
Financial,"401k, invest, stocks, bonds",How to invest in stocks and bonds,http://www.ehow.com/how_2337320_invest-stocks-bonds.html,active
Financial,"401k, invest, stocks, bonds",Investing 101 - A beginners guide,http://beginnersinvest.about.com/od/investing101/a/invest_in_stock.htm,active
Financial,"401k, invest, stocks, bonds",Investing in Stocks and bonds,https://www.usaaedfoundation.org/Investing/investing_553_stocks_and_bonds,active
Financial,"401k, invest, stocks, bonds",Simple ways to invest in real estate ,http://www.investopedia.com/articles/pf/06/realestateinvest.asp#axzz2NSrNhJNv,active
Financial,"401k, invest, stocks, bonds",How to invest in real estate,http://www.ehow.com/how_2075576_invest-real-estate.html,active
Financial,"401k, invest, stocks, bonds",Which investment options do I have,http://www.fool.com/investing/beginning/what-should-i-invest-in.aspx,active
Financial,"401k, invest, stocks, bonds",5 most common investment vehicles,http://ezinearticles.com/?The-5-Most-Common-Investment-Vehicles&id=148553,active
Financial,budget,10 tips for staying on a budget,http://money.howstuffworks.com/personal-finance/budgeting/10-tips-for-staying-on-budget.htm,active
Financial,budget,Personal budgeting tips,http://www.moneymanagementtips.com/budgeting.htm,active
education,grade,Tips for getting good grades,http://www.wikihow.com/Get-Good-Grades,active
education,grade,Secrets of getting good grades,http://www.usnews.com/education/blogs/professors-guide/2009/08/19/15-secrets-of-getting-good-grades-in-college,active
education,grade,How to get good grades,http://www.ehow.com/how_2321770_get-good-grades-school.html,active
education,grade,Tips to get better grades,http://www.quintcareers.com/getting_better_grades.html,active
education,College,Which college is right for me ?,http://www.selectsmart.com/bestcollege/,active
education,College,Questions about college,http://www.questionsaboutcollege.com/which-college-is-right-for-me.htm,active
education,study,10 great study habits,http://homeworktips.about.com/od/studymethods/tp/studyhabits.htm,active
education,study,12 tips to improve study habits,http://www.pickthebrain.com/blog/12-tips-to-improve-your-study-habits-next-term/,active
education,study,How to improve your study habits,http://www.learninginfo.org/study-habit-tips.htm,active
education,study,study habits of successful students,http://www.how-to-study.com/study-skills/en/study-habits-of-successful-students.asp,active
education,"kids, study",Study habits for kids,http://www.allstaractivities.com/general/study-habits.htm,active
education,"kids, study",Study habits and homework,http://urbanext.illinois.edu/succeed/habits.cfm,active
social,"relationship,date",How to find love,http://www.ehow.com/how_2136282_find-love.html,active
social,"relationship,date",How to find true love,http://thinksimplenow.com/relationships/how-to-find-true-love/,active
social,"breakup,divorce",How to get over breakup,http://thinksimplenow.com/relationships/how-to-get-over-breakups/,active
social,"relationship,date",15 tips for matchmaking,http://www.ivillage.com/how-find-boyfriend-15-tips-professional-matchmakers/4-a-284121,active
social,marriage,How to fix your marriage,http://www.ehow.com/how_4443972_fix-marriage.html,active
social,marriage,7 ways to fix your marriage,http://www.foxnews.com/health/2010/12/23/ways-fix-marriage/,active
social,marriage,6 repair tools for your marriage,http://ezinearticles.com/?Six-Repair-Tools-for-Your-Marriage&id=183346,active
social,"better,happy  life",100 ways to live a better life,http://www.dragosroua.com/100-ways-to-live-a-better-life/,active
social,"better,happy  life",Tips on how to live a better and honest life,http://www.wellandgoodnyc.com/2013/03/12/jessica-albas-tips-on-how-to-live-the-honest-life/,active
social,"better,happy  life",How to live a happy life,http://thinksimplenow.com/happiness/how-to-live-a-happy-life/,active
social,"relationship,date",How to find a date on-line,http://www.wikihow.com/Find-a-Date-Online,active
social,"relationship,date",How to get a date,http://www.wikihow.com/Get-a-Date,active
Personal,time management,10 tips for better time management,http://www.careermakeovercoach.com/ten-tips-for-better-time-management/,active
Personal,time management,Tips to reduce stress and increase productivity,http://www.mayoclinic.com/health/time-management/wl00048,active
Personal,time management,30 smart tips and tricks for better time management,http://money.usnews.com/money/blogs/outside-voices-careers/2010/09/28/30-savvy-time-management-tips-and-tricks,active
Personal,"Intelligence,Smart",8 ways to get smarter,http://www.lifehack.org/articles/lifestyle/8-ways-to-get-smarter-every-week.html,active
Personal,"Intelligence,Smart",5 ways to make the most of your intelligence,http://www.pickthebrain.com/blog/5-simple-ways-to-make-the-most-of-your-intelligence/,active
Personal,"Intelligence,Smart",10 ways to be smarter,http://lifehacker.com/5949532/top-10-ways-to-make-yourself-look-and-be-smarter,active
Personal,Addiction,10 tips to overcome micro-addictions,http://zenhabits.net/10-unbeatable-tips-for-overcoming-micro-addictions/,active
Personal,Addiction,8 tips for fighting addiction,http://www.articleclick.com/Article/8-Tips-To-Fighting-Addiction/3240,active
Personal,Fear,20 tips for overcoming fear,http://blog.dalecarnegie.com/tipsforsuccess/20-tips-on-overcoming-fear/,active
Personal,Fear,7 tips for overcoming fear,http://www.positivityblog.com/index.php/2008/10/03/how-to-overcome-your-fear-7-tips-from-the-last-2200-years/,active
Personal,Fear,3 tips for overcoming fear,http://cindysense.com/3-tips-to-overcoming-fear,active
Personal,Cooking,Cooking Tips and articles,http://www.articlesbase.com/cooking-tips-articles/,active
Personal,Cooking,100 of the greatest cooking tips,http://www.foodnetwork.com/chefs/100-greatest-cooking-tips-of-all-time/index.html,active
Personal,Cooking,30 cooking tips for your kitchen,http://shine.yahoo.com/team-mom/healthy-helpful-30-cooking-tips-kitchen-232700038.html?,active
Personal,Baking ,Baking tips for success,http://baking911.com/learn/baked-goods/healthy/tips-success,active
Personal,Baking ,45 Cooking and baking tips,http://tipnut.com/45-cooking-baking-tips-a-collection-of-timeless-wisdom/,active
Personal,Baking ,40+ cake baking tips,http://tipnut.com/cake-baking-tips/,active
Personal,Motivation,8 tips to break your motivational funk,http://sidsavara.com/personal-development/how-to-get-motivated-tips,active
Personal,Motivation,21 Proven motivational tactics,http://www.pickthebrain.com/blog/21-proven-motivation-tactics/,active
Personal,Motivation,Self motivational tips,http://www.ehow.com/how_4550770_self-motivation-tips.html,active
Personal,Collection,10 beginner tips to smart collecting,http://collectibles.about.com/od/auctionsandshopping1/tp/begincollecting.htm,active
Personal,Collection,Coin Collecting Tips,http://www.ehow.com/list_6403820_coin-collecting-tips.html,active
Personal,Collection,Stamp Collecting Essentials Video  ,http://www.youtube.com/watch?v=bTfcRN8RDk8,active
Personal,Chess,Winning chess strategy,http://www.chesscentral.com/Winning_Chess_Strategys_a/235.htm,active
Personal,Chess,Tips on how to play chess better,http://www.mychessblog.com/tips-on-how-to-play-better-chess/,active
Personal,Board games,5 tips for playing board games in public,http://danielsolisblog.blogspot.com/2011/01/5-tips-for-playing-board-games-in.html,active
Spiritual,"Spirituality,Religion",How to find spirituality,http://www.spiritualityandpractice.com/practices/features.php?id=15329,active
Spiritual,"Spirituality,Religion",How to find religion,http://www.ehow.com/how_5892102_religion-spirituality.html,active
Spiritual,"Spirituality,Religion",How to find spiritual breakthroughs,http://www.ehow.com/how_8067515_spiritual-breakthroughs.html,active
Spiritual,"Spirituality,Religion",How to find a spiritual mentor,http://theadventurouswriter.com/spirituality/spiritual-life-coaching-how-to-find-a-spiritual-mentor/,active
Spiritual,"Spirituality,Religion",12 steps for becoming more spiritual,http://www.wikihow.com/Become-More-Spiritual,active
Spiritual,God,12 steps to find God,http://www.wikihow.com/Find-God,active
Spiritual,God,How to find God,http://www.ehow.com/how_2053563_find-god.html,active
